Num a	Num b	Num c
-43.966	37.071	31.914
-89.645	52.471	-82.956
-83.946	6.658	-10.1
52.504	20.383	87.322
40.639	88.155	-47.537
-96.378	53.855	80.926
61.182	-70.737	70.241
45.098	36.423	46.297
95.832	4.703	-51.388
-14.713	41.053	53.019
11.135	99.242	-50.132
-84.294	30.635	-76.607
-78.764	-72.936	-3.125
54.692	23.313	74.326
-38.364	-75.033	56.875
25.959	-72.263	95.972
-77.166	33.648	97.246
-27.482	86.985	67.651
-83.836	49.974	-5.945
-89.494	70.602	-38.207
-23.36	22.817	-29.069
-34.093	-87.856	-84.249
-30.454	-73.611	52.6
35.057	50.779	-5.406
50.141	-83.89	-83.697
-68.765	-99.93	-50.585
64.385	-92.648	91.247
-70.123	34.553	0.489
5.784	-94.378	5.076
86.892	90.919	41.43
42.507	-18.638	92.333
-73.577	16.332	0.549
-87.85	57.325	94.532
21.838	-4.386	-94.163
-31.348	16.501	53.403
-40.55	17.156	-82.44
-67.482	93.802	-24.269
-84.727	59.918	-90.989
-46.54	78.129	26.773
96.503	-53.529	-11.096
-30.8	-19.093	-36.939
-23.042	43.941	17.791
-43.17	57.495	-17.684
88.669	-90.335	-78.954
25.848	32.784	-78.619
53.269	-6.944	-60.733
93.024	-16.643	56.797
96.723	-95.896	-13.263
53.163	-76.369	85.744
99.23	94.724	-65.591
-60.943	-53.469	29.841
-10.775	4.599	63.554
41.85	21.593	-16.368
-73.911	-52.297	95.044
-25.854	67.875	10.59
-8.117	-5.704	-70.609
-33.771	-31.042	-24.995
6.2	-48.339	-4.992
-26.687	71.959	93.52
63.067	-22.88	10.945
-16.746	-27.023	-94.01
43.875	60.943	-77.652
85.914	-47.216	38.219
6.315	43.382	85.485
55.734	-42.867	92.358
-26.763	-87.777	94.426
-5.758	-62.755	78.487
-32.55	-73.502	-74.921
-64.576	-91.088	92.047
56.117	24.544	39.675
-68.503	64.24	68.604
86.295	98.788	-98.58
52.356	-95.366	-59.692
96.042	-55.372	74.246
1.06	40.027	4.299
-30.936	-7.881	48.959
-56.624	-83.133	91.912
-23.342	89.621	-81.932
60.19	80.066	-42.03
-92.676	59.159	-80.433
-43.464	54.252	-72.642
-83.17	-59.669	-82.459
-29.872	70.86	33.901
78.966	7.789	78.72
23.232	-25.182	-12.944
58.157	37.54	50.946
53.192	-77.209	-60.144
18.178	-77.952	-28.469
42.102	-76.126	-54.379
-94.963	81.601	19.862
-9.935	66.485	-50.02
-33.901	13.434	-14.409
